MSN,YYYYMM,Value,Column_Order,Description,Unit
NGEISUS,199104,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199105,1.48,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199105,2.76,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199105,6.28,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199105,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199105,4.65,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199105,83.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199105,2.4,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199105,32.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199105,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199105,2.01,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199105,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199106,1.43,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199106,2.86,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199106,6.97,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199106,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199106,4.8,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199106,80,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199106,2.34,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199106,31.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199106,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199106,1.94,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199106,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199107,1.34,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199107,2.74,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199107,7.23,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199107,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199107,4.5,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199107,79.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199107,2.23,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199107,29.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199107,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199107,1.88,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199107,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
