"MSN","YYYYMM","Value","Column_Order","Description","Unit","Date"
"ESTCUUS",200404,7.34,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-04-01
"ESTCUUS",200405,7.46,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-05-01
"ESTCUUS",200406,7.93,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-06-01
"ESTCUUS",200407,8.11,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-07-01
"ESTCUUS",200408,8.18,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-08-01
"ESTCUUS",200409,7.97,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-09-01
"ESTCUUS",200410,7.6,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-10-01
"ESTCUUS",200411,7.42,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-11-01
"ESTCUUS",200412,7.36,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2004-12-01
"ESTCUUS",200501,7.47,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-01-01
"ESTCUUS",200502,7.58,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-02-01
"ESTCUUS",200503,7.59,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-03-01
"ESTCUUS",200504,7.65,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-04-01
"ESTCUUS",200505,7.84,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-05-01
"ESTCUUS",200506,8.38,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-06-01
"ESTCUUS",200507,8.6,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-07-01
"ESTCUUS",200508,8.71,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-08-01
"ESTCUUS",200509,8.68,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-09-01
"ESTCUUS",200510,8.37,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-10-01
"ESTCUUS",200511,8.21,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-11-01
"ESTCUUS",200512,8.21,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2005-12-01
"ESTCUUS",200601,8.31,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-01-01
"ESTCUUS",200602,8.49,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-02-01
"ESTCUUS",200603,8.44,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-03-01
"ESTCUUS",200604,8.56,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-04-01
"ESTCUUS",200605,8.71,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-05-01
"ESTCUUS",200606,9.3,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-06-01
"ESTCUUS",200607,9.55,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-07-01
"ESTCUUS",200608,9.58,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-08-01
"ESTCUUS",200609,9.32,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-09-01
"ESTCUUS",200610,8.89,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-10-01
"ESTCUUS",200611,8.63,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",2006-11-01
